File Name                     	['་འི་  ', '་འི་_original']	['་ས་   ', '་ས་_original']	['་ར་   ', '་ར་_original']	['་འི།  ', '་འི།_original']	['་ས།   ', '་ས།_original']	['་ར།   ', '་ར།_original']
TM1205-bo.txt                 	['2     ', '2     ']	['149   ', '149   ']	['19    ', '19    ']	['0     ', '0     ']	['4     ', '4     ']	['0     ', '0     ']
TM3VKH_LH-bo.txt              	['0     ', '0     ']	['0     ', '0     ']	['6     ', '6     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TM248Y_LH-bo.txt              	['0     ', '0     ']	['3     ', '3     ']	['2     ', '2     ']	['0     ', '0     ']	['1     ', '1     ']	['0     ', '0     ']
TMtoh216_84000-bo.txt         	['0     ', '0     ']	['42    ', '42    ']	['6     ', '6     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TMTLBN_LH-bo.txt              	['0     ', '0     ']	['2     ', '2     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TM0037-bo.txt                 	['689   ', '689   ']	['1373  ', '1373  ']	['406   ', '406   ']	['0     ', '0     ']	['2     ', '2     ']	['3     ', '3     ']
TM1391-bo.txt                 	['0     ', '0     ']	['84    ', '84    ']	['29    ', '29    ']	['0     ', '0     ']	['2     ', '2     ']	['1     ', '1     ']
TM2014-bo.txt                 	['0     ', '0     ']	['11    ', '11    ']	['3     ', '3     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TM2358-bo.txt                 	['6     ', '6     ']	['99    ', '99    ']	['143   ', '143   ']	['0     ', '0     ']	['2     ', '2     ']	['3     ', '3     ']
TM7754-bo.txt                 	['0     ', '0     ']	['2     ', '2     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TM2316-bo.txt                 	['0     ', '0     ']	['37    ', '37    ']	['9     ', '9     ']	['0     ', '0     ']	['2     ', '2     ']	['0     ', '0     ']
TM2970-bo.txt                 	['0     ', '0     ']	['2     ', '2     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TM2359-bo.txt                 	['377   ', '377   ']	['250   ', '250   ']	['170   ', '170   ']	['18    ', '18    ']	['39    ', '39    ']	['11    ', '11    ']
TM2176-bo.txt                 	['0     ', '0     ']	['3     ', '3     ']	['1     ', '1     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TM2572-bo.txt                 	['0     ', '0     ']	['29    ', '29    ']	['1     ', '1     ']	['0     ', '0     ']	['1     ', '1     ']	['0     ', '0     ']
TM0804-bo.txt                 	['0     ', '0     ']	['102   ', '102   ']	['38    ', '38    ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TMEDBF_LH-bo.txt              	['0     ', '0     ']	['3     ', '3     ']	['2     ', '2     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TMDWRH_LH-bo.txt              	['0     ', '0     ']	['1     ', '1     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TM6UFT_LH-bo.txt              	['0     ', '0     ']	['1     ', '1     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TM0072-bo.txt                 	['0     ', '0     ']	['84    ', '84    ']	['39    ', '39    ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TM2658-bo.txt                 	['0     ', '0     ']	['30    ', '30    ']	['0     ', '0     ']	['0     ', '0     ']	['1     ', '1     ']	['0     ', '0     ']
TM1039-bo.txt                 	['0     ', '0     ']	['3     ', '3     ']	['1     ', '1     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TM0760-bo.txt                 	['3     ', '3     ']	['99    ', '99    ']	['10    ', '10    ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TM2762-bo.txt                 	['0     ', '0     ']	['124   ', '124   ']	['2     ', '2     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TM3151-bo.txt                 	['0     ', '0     ']	['124   ', '124   ']	['12    ', '12    ']	['0     ', '0     ']	['1     ', '1     ']	['0     ', '0     ']
TM9OOH_LH-bo.txt              	['0     ', '0     ']	['1     ', '1     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TMHT5Q_LH-bo.txt              	['0     ', '0     ']	['3     ', '3     ']	['1     ', '1     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TMXMUG_LH-bo.txt              	['0     ', '0     ']	['3     ', '3     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TM0038-bo.txt                 	['0     ', '0     ']	['55    ', '55    ']	['21    ', '21    ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TM0013-bo.txt                 	['0     ', '0     ']	['217   ', '217   ']	['35    ', '35    ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TM1514-bo.txt                 	['0     ', '0     ']	['44    ', '44    ']	['32    ', '32    ']	['0     ', '0     ']	['6     ', '6     ']	['1     ', '1     ']
TM4633-bo.txt                 	['0     ', '0     ']	['23    ', '23    ']	['18    ', '18    ']	['0     ', '0     ']	['0     ', '0     ']	['1     ', '1     ']
TM3TO0_LH-bo.txt              	['0     ', '0     ']	['1     ', '1     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TM2549-bo.txt                 	['0     ', '0     ']	['8     ', '8     ']	['3     ', '3     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TM4GLH_LH-bo.txt              	['0     ', '0     ']	['7     ', '7     ']	['1     ', '1     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TM1011-bo.txt                 	['0     ', '0     ']	['141   ', '141   ']	['9     ', '9     ']	['0     ', '0     ']	['10    ', '10    ']	['1     ', '1     ']
TM0245-bo.txt                 	['0     ', '0     ']	['76    ', '76    ']	['47    ', '47    ']	['0     ', '0     ']	['1     ', '1     ']	['6     ', '6     ']
TM3706-bo.txt                 	['0     ', '0     ']	['3     ', '3     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TMQ60R_LH-bo.txt              	['0     ', '0     ']	['1     ', '1     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TMQ105_LH-bo.txt              	['0     ', '0     ']	['4     ', '4     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TM3662-bo.txt                 	['0     ', '0     ']	['109   ', '109   ']	['12    ', '12    ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TM1209-bo.txt                 	['1     ', '1     ']	['102   ', '102   ']	['103   ', '103   ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TM5X46_LH-bo.txt              	['0     ', '0     ']	['5     ', '5     ']	['15    ', '15    ']	['0     ', '0     ']	['2     ', '2     ']	['0     ', '0     ']
TMU2Q5_LH-bo.txt              	['0     ', '0     ']	['1     ', '1     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TM0742-bo.txt                 	['0     ', '0     ']	['94    ', '94    ']	['5     ', '5     ']	['0     ', '0     ']	['3     ', '3     ']	['0     ', '0     ']
TM2747-bo.txt                 	['0     ', '0     ']	['106   ', '106   ']	['28    ', '28    ']	['0     ', '0     ']	['2     ', '2     ']	['0     ', '0     ']
TM2928-bo.txt                 	['0     ', '0     ']	['173   ', '173   ']	['35    ', '35    ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TMZWIF_LH-bo.txt              	['0     ', '0     ']	['11    ', '11    ']	['6     ', '6     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TM0017-bo.txt                 	['1026  ', '1026  ']	['627   ', '627   ']	['364   ', '364   ']	['0     ', '0     ']	['14    ', '14    ']	['5     ', '5     ']
TM2178-bo.txt                 	['0     ', '0     ']	['96    ', '96    ']	['31    ', '31    ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TMIIP9_LH-bo.txt              	['0     ', '0     ']	['0     ', '0     ']	['1     ', '1     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TM2297-bo.txt                 	['0     ', '0     ']	['71    ', '71    ']	['3     ', '3     ']	['0     ', '0     ']	['3     ', '3     ']	['0     ', '0     ']
